ID,Description
1,"àãí áà ìàìåäéí åùåàì àåúå: ""ìîä òùéú àú çååä ëì ëê éôä?"".@àìåäéí òåðä ìå: ""ëãé ùúàäá àåúä"".@àãí ùåàì: ""åìîä òùéú àåúä ëì ëê îèåîèîú?""@àìåäéí îùéá: ""ëãé ùäéà úåëì ìàäåá àåúê""...~"
2,"æ'åæ'å æëä áìåèå...@áà äáéúä ìàéùúå áùéà ääúìäáåú åàåîø ìä: ""æ'÷ìéï úàøæé!"".@äéà àåîøú ìå: ""ìîä ëôøä, ìàï ðåñòéí?"".@""ìà ðåñòéí, àú òåæáú""...~"
3,éãéòä áòéúåï:@ðîöàå äåøîåðéí ð÷áééí ááéøä.@îé ùùåúä àú äáéøä ðåäâ ìà èåá åîãáø ùèåéåú...~
4,"ùàìä: îä àåîøú ôåìðéä ëùäéà îñúëìú áøàé?@úùåáä: ""îâéò ìå!""...~"
5,"ç÷ìàé àçã äúôàø úîéã ëîä äúøðâåì ùìå éëåì ìäøáéò.@áàçã îï äéîéí ðéâù àìéå ùëðå åàåîø ìå:@""éù ìé ùéùä ìåìéí ùì úøðâåìåú, ðøàä àí äúøðâåì ùìê éøáéò àú ëå-ìí"".@îëðéñéí àú äúøðâåì ììåì åäåà îøáéò á÷öá àú ëì äúøðâåìåú àçú àçøé äùðééä.@ëê âí áéúø äìåìéí.@äùëï àåîø ìå: ""úøðâåìåú æå ìà çåëîä, áåà ððñä àú äúøðâåì ùìê áøôú ùìé, ùí éù ìé 50 ôøåú"".@îáéàéí àú äúøðâåì åäåà îøáéò àú ëì äôøåú áàåúå ÷öá îñçøø.@éåöà îäøôú åðùëá òì äàøõ.@""àúä øåàä?! äúøðâåì ùìê îú!"", àåîø äùëï áâàååä.@""ùúå÷"", öåøç äúøðâåì, ""àúä îáøéç àú äðùøéí""...~"
6,"ìøàù ùáè áàôøé÷ä ðåìã áï, ìáï ëñéã.@øàù äùáè îçìéè ììëú ìèøæï åàåîø ìå:@""ðåìã ìé éìã ìáï, àúä äìáï äéçéãé áëì äàæåø, àúä ùëáú òí àéùúé åàðé äåìê ìäøåâ àåúê!"".@èøæï òåöø àú øàù äùáè åàåîø ìå:@""àæ îä àí äéìã ùìê ðåìã ìáï, äðä îîåì òæ ìáðä åéù ìä âãééí ùçåøéí"".@""èåá"", àåîø øàù äùáè áúáåñä, ""àí àúä ìà úâìä, àðé ìà àâìä!""...~"
7,ùàìä: ìîä àìåäéí éöø ÷åãí àú äâáø åàçø-ëê àú äàéùä?@úùåáä: ìôðé ëì éöéøä òåùéí ÷åãí èéåèä...~
8,"äàéù äîåùìí, äàéùä äîåùìîú åñðèä-÷ìàåñ îúðâùéí áúàåðú ãøëéí.@îé ðùàø áçééí?@äàéùä!@ëé äàéù äîåùìí åñðèä-÷ìàåñ ìà ÷ééîéí...~"
9,"ìàéù àçã äúâìä äùèï.@äùèï àåîø ìå: ""áàúé ì÷çú àú äðùîä ùìê"".@àæ äàéù öåò÷: ""ðùîä, áàå ì÷çú àåúê""...~"
10,"áçåø ðëðñ ìúà ëåîø.@äëåîø ùåàì àåúå: ""ëï áðé, òì îä øöéú ìäúååãåú?"".@äáçåø àåîø: ""áéîîä äàçøåðä ùëáúé òí çîù áçåøåú ùåðåú"".@äëåîø: ""àéæä îï ÷úåìé àúä?"".@äáçåø: ""àðé ìà ÷úåìé, àðé éùøàìé åäééúé çééá ìñôø ìîéùäå!""...~"
