EventID,FixedRandomValue
5,
6,
10,
16,"7.40083-0.0417833,2806"
17,"7.40083-0.600847,12681"
23,"7.400830.0252874,6283"
25,"7.40083-0.157736,1464"
26,"1.565080.922785,53"
27,"7.400830.00423759,59"
28,"7.400830.00423759,59"
29,"7.40083-0.368647,12536"
30,
31,"7.400830.0242622,4786"
32,"1.73205-0.556147,56"
33,"7.40083-0.539996,12816"
34,"7.40083-0.00119935,17068"
35,"7.400830.048201,70"
36,"7.400830.216574,74"
37,"7.400830.888149,15222"
38,"7.40083-0.920918,2210"
39,"7.40083-0.951145,3258"
40,
41,
42,"7.400830.57648,12945"
43,"7.40083-0.539996,12816"
44,"7.400830.0687728,2441"
45,"7.400830.0317089,3407"
46,"7.400830.685592,15430"
47,"7.40083-0.100507,81"
48,"1.565080.171859,922"
49,"7.400830.105472,13333"
50,"7.400830.0071785,10479"
51,"7.40083-0.0269901,21865"
52,"7.400830.113147,96"
53,"1.73205-0.17647,4694"
54,"1.316070.443413,276"
55,"1.56508-0.381543,4709"
56,"7.40083-0.316905,13303"
57,"7.40083-0.939539,2918"
58,"7.40083-0.939539,2918"
59,"7.400830.0084751,118"
60,"7.40083-0.0436588,9771"
61,"1.316070.510808,4499"
62,"7.400830.26183,723"
63,"7.40083-0.0106616,2817"
64,"7.400830.760928,178"
65,"1.31607-0.902241,24371"
66,"1.316070.039734,188"
67,"1.316070.039734,188"
68,"7.40083-0.011687,1320"
69,"7.400830.116069,10516"
70,"1.31607-0.974691,197"
71,"7.400830.131602,21113"
72,"1.86121-0.455684,1398"
73,"7.400830.0317089,3407"
74,"7.40083-0.0173945,3949"
75,"7.400830.0461523,3064"
76,"7.400830.246991,232"
77,"7.400830.00379262,3654"
78,"7.400830.247422,3481"
79,"7.400830.164477,19199"
80,"7.40083-0.0236818,7002"
81,"1.31607-0.395806,265"
82,"1.31607-0.382616,277"
83,"1.316070.123158,505"
84,"7.40083-0.00437315,5870"
85,"7.40083-0.12692,4159"
86,"1.316070.838804,510"
87,"7.40083-0.233618,23406"
88,"7.400830.0486454,3643"
89,"7.400830.0697959,3938"
91,"7.400830.106319,741"
92,"7.40083-0.32409,20611"
93,
94,"7.400830.333227,3425"
95,"7.400830.683998,12495"
96,"7.400830.401414,12783"
97,"7.400830.0623625,5317"
98,
99,
100,"7.40083-0.214572,2920"
101,"7.400830.00919118,8027"
102,"7.40083-0.956292,12549"
103,
104,"7.40083-0.282645,4731"
105,"1.31607-0.66643,13568"
106,"7.400830.761969,541"
108,"7.40083-0.999008,13095"
109,"7.400830.371092,11758"
111,
112,"7.400830.745439,12753"
113,"7.400830.745439,12753"
114,
115,"7.40083-0.00263155,778"
116,"7.40083-0.961186,927"
118,"7.400830.0199873,16773"
119,"1.565080.990919,717"
120,"7.400830.0115515,4609"
121,"7.40083-0.0503467,24505"
122,"7.40083-0.00557249,11198"
123,"7.40083-0.139423,23447"
124,"7.40083-0.0162336,8381"
125,"7.40083-0.136607,14402"
126,"7.400830.104587,5907"
127,"7.400830.0767817,1154"
128,"7.400830.0461523,3064"
129,"1.565080.433308,4757"
130,"7.400830.245997,1729"
131,"7.400830.918043,2340"
132,
133,"7.40083-0.154563,2902"
134,"7.40083-0.581024,1747"
136,"7.400830.730383,12884"
137,"7.400830.0830884,23399"
138,"7.40083-0.154563,2902"
139,"7.400830.730383,12884"
140,"7.40083-0.664161,3441"
141,
142,"7.40083-0.154563,2902"
143,"7.400830.307069,844"
144,"7.400830.635278,3019"
