EventID,PhotoID
5,
6,
10,
16,7616
17,12681
23,1415
25,16763
26,53
27,3505
28,14031
29,12536
30,
31,4804
32,56
33,12816
34,918
35,9637
36,76
37,15222
38,2210
39,3258
40,
41,
42,12945
43,12816
44,2852
45,3407
46,22830
47,9227
48,922
49,11890
50,10867
51,3679
52,21988
53,4694
54,276
55,4709
56,2918
57,2918
58,2918
59,127
60,3690
61,4499
62,159
63,14822
64,178
65,24371
66,188
67,188
68,1386
69,10515
70,197
71,21110
72,1398
73,3407
74,3948
75,3066
76,232
77,1727
78,4608
79,19303
80,6052
81,265
82,277
83,519
84,381
85,2982
86,510
87,3222
88,3643
89,21335
91,744
92,921
93,
94,3425
95,12576
96,12783
97,5323
98,
99,
100,2920
101,3607
102,12549
103,
104,1317
105,13568
106,541
108,13095
109,13095
111,
112,12753
113,14953
114,
115,791
116,927
118,1172
119,717
120,8632
121,6571
122,11219
123,1012
124,3962
125,3066
126,5907
127,21277
128,16792
129,4757
130,254
131,2340
132,
133,2714
134,3266
136,12884
137,12616
138,12884
139,12884
140,12884
141,
142,13175
143,4401
144,3019
145,3019
146,3019
147,3019
148,3019
149,8807
150,11091
151,13227
152,2896
153,15221
154,1332
155,2896
156,16858
157,1332
158,16858
159,
160,
161,13004
162,2896
163,2896
164,2896
165,24607
166,4695
167,4107
168,
169,21277
170,
171,4695
172,2852
173,2852
174,13305
175,3258
176,13650
177,3407
178,
179,
180,
181,
182,
183,
184,3407
185,3407
186,3407
187,12681
188,1506
189,288
190,5752
191,19449
192,
193,
194,
195,1742
196,
197,12526
198,3732
199,13549
200,
201,
202,2373
203,5025
204,2309
205,18103
206,
207,2059
208,2918
209,13222
210,526
211,2918
212,
213,5407
214,5407
215,2972
216,
217,
218,13650
219,
220,
221,
222,2471
223,3431
224,3500
225,14412
226,4648
227,
228,
229,
230,12474
231,2918
232,12927
233,22651
234,
235,
236,12090
237,
238,12873
239,2025
240,3017
241,2926
242,
243,1004
244,
245,13305
246,
247,4761
248,4761
249,
250,13004
251,13004
252,13004
253,13004
254,2336
255,
256,
257,2359
258,
259,2849
261,2500
262,13101
263,13101
264,
265,2377
266,13305
267,
268,
269,5634
270,5634
271,5634
272,5634
273,5634
274,5634
275,5634
276,5634
277,5634
278,12601
279,369
280,12601
281,12601
282,12601
283,
284,12454
285,1077
286,1077
287,
288,16536
289,4746
290,
291,12384
292,18044
293,2906
294,12297
295,2906
296,2906
297,2032
298,2032
299,2032
300,2032
301,18891
302,
303,2032
304,2032
305,5863
306,19004
307,13001
308,2853
309,2853
310,
311,2853
312,2853
313,24618
314,3643
315,
316,
317,518
318,1136
319,12366
320,22612
321,4666
322,12703
323,526
324,
325,4660
326,
327,
328,1553
329,3426
330,3066
331,4608
332,4637
333,2873
336,
337,3499
338,7921
339,
340,760
342,22830
343,13523
345,3065
346,14707
347,
348,
349,4608
351,
352,
353,7780
354,2007
355,1012
356,1488
357,7783
359,1818
360,2873
361,7561
362,
363,
364,
365,8250
366,
367,
368,2938
369,2938
370,
371,3424
372,15222
373,5806
374,5806
375,12188
376,12188
377,13422
378,13422
379,13422
380,
381,12188
382,7166
383,
384,6731
385,
386,13305
387,13305
388,13305
389,13305
390,
391,12380
392,
393,
394,
395,2921
396,
397,
398,
399,
400,13330
401,19445
402,5961
403,12028
404,11632
405,11865
406,11632
407,
408,11973
409,12692
410,2496
411,3505
412,12800
413,13227
414,
415,3378
416,13218
417,13218
418,12262
419,12553
420,12553
421,19325
422,12553
423,
425,4602
