EventID,FixedRandomValue,EventPhotoRank
5,,
6,,
10,,
16,"7.40083-0.0205627,15233",1000
16,"7.400830.103578,7618",1000
16,"7.400830.121364,11141",1000
16,"7.40083-0.137715,15259",1000
16,"7.400830.141174,15304",1000
16,"7.400830.182102,7628",1000
16,"7.40083-0.206042,15236",1000
16,"7.400830.247112,7372",1000
16,"7.400830.287261,24782",1000
16,"7.40083-0.3258,7621",1000
16,"7.400830.341072,24342",1000
16,"7.40083-0.380791,7608",1000
16,"7.40083-0.395401,16795",1000
16,"7.400830.421974,15239",1000
16,"7.400830.436502,24786",1000
16,"7.400830.474518,15226",1000
16,"7.40083-0.47988,20942",1000
16,"7.40083-0.496411,24785",1000
16,"7.40083-0.51031,15240",1000
16,"7.400830.531144,7624",1000
16,"7.400830.532926,8051",1000
16,"7.400830.548454,7609",1000
16,"7.400830.580013,7611",1000
16,"7.40083-0.583563,24343",1000
16,"7.400830.594951,8049",1000
16,"7.400830.596641,7622",1000
16,"7.40083-0.628637,24783",1000
16,"7.40083-0.635266,11106",1000
16,"7.400830.684266,2131",1000
16,"7.400830.691554,15237",1000
16,"7.400830.69866,203",1000
16,"7.40083-0.721484,11132",1000
16,"7.40083-0.723326,7606",1000
16,"7.40083-0.750952,11140",1000
16,"7.400830.760787,6710",1000
16,"7.40083-0.761288,8046",1000
16,"7.40083-0.762651,7619",1000
16,"7.40083-0.792066,21278",1000
16,"7.40083-0.81025,6888",1000
16,"7.400830.813766,15232",1000
16,"7.40083-0.836974,15234",1000
16,"7.400830.840831,15289",1000
16,"7.400830.879557,7617",1000
16,"7.40083-0.887149,24338",1000
16,"7.400830.889155,7616",1000
16,"7.40083-0.924108,15235",1000
16,"7.400830.932609,4006",1000
16,"7.400830.939396,7371",1000
16,"7.40083-0.941093,6889",1000
16,"7.40083-0.964917,8047",1000
16,"7.400830.968522,24341",1000
16,"7.40083-0.971757,2806",1000
16,"7.40083-0.978244,7607",1000
16,"7.40083-0.982303,7626",1000
16,"7.400830.986581,15238",1000
16,"7.400830.98817,2130",1000
16,"7.400830.990304,11110",1000
16,"7.400830.991693,20944",1000
16,"7.40083-0.99246,15228",1000
16,"7.40083-0.996788,24784",1000
16,"7.400830.998376,15296",1000
16,"7.400830.999817,7610",1000
17,"7.400830.314642,12681",1000
23,"7.40083-0.162606,6269",1000
23,"7.40083-0.181342,6292",1000
23,"7.400830.344446,6276",1000
23,"7.40083-0.423008,23340",1000
23,"7.40083-0.547808,6273",1000
23,"7.400830.762151,6283",1000
23,"7.40083-0.860336,6267",1000
23,"7.40083-0.879925,6281",1000
23,"7.40083-0.906322,6268",1000
23,"7.40083-0.969873,1415",1000
23,"7.400830.999865,4084",1000
25,"7.40083-0.0678558,16763",1000
25,"7.400830.178854,2151",1000
25,"7.40083-0.266296,21848",1000
25,"7.400830.368314,21991",1000
25,"7.40083-0.446878,49",1000
25,"7.400830.477796,3423",1000
25,"7.40083-0.517647,1563",1000
25,"7.40083-0.581554,12473",1000
25,"7.40083-0.671319,51",1000
25,"7.400830.734561,4680",1000
25,"7.400830.774191,14409",1000
25,"7.400830.81398,22011",1000
25,"7.40083-0.834738,4119",1000
25,"7.400830.976508,1464",1000
25,"7.40083-0.982862,3434",1000
25,"7.400830.989345,3521",1000
25,"7.40083-0.990718,50",1000
25,"7.40083-0.994389,16561",1000
25,"7.40083-0.997702,3408",1000
25,"7.400830.999952,4731",1000
26,"1.565080.93432,53",2
26,"7.40083-0.0965276,7673",1000
