EventID,PhotoID,EventPhotoRank,RandomValue
5,,,
6,,,
10,,,
16,203,1000,"-0.000607033,203"
16,7621,1000,"0.00731327,7621"
16,15259,1000,"0.0162734,15259"
16,24783,1000,"-0.0431438,24783"
16,11106,1000,"-0.0441544,11106"
16,24343,1000,"-0.103559,24343"
16,11140,1000,"-0.105772,11140"
16,15234,1000,"-0.155004,15234"
16,2131,1000,"-0.190903,2131"
16,15233,1000,"0.214115,15233"
16,11132,1000,"0.272729,11132"
16,15226,1000,"0.320151,15226"
16,24784,1000,"0.322396,24784"
16,7622,1000,"-0.356112,7622"
16,20944,1000,"0.362262,20944"
16,20942,1000,"-0.363609,20942"
16,24782,1000,"-0.4028,24782"
16,24342,1000,"-0.457482,24342"
16,11141,1000,"-0.45946,11141"
16,8051,1000,"-0.496274,8051"
16,15235,1000,"-0.502984,15235"
16,7628,1000,"-0.521824,7628"
16,2130,1000,"-0.534148,2130"
16,7611,1000,"-0.547931,7611"
16,15232,1000,"0.554034,15232"
16,24785,1000,"0.64397,24785"
16,7606,1000,"-0.647744,7606"
16,7619,1000,"0.681746,7619"
16,15240,1000,"-0.687078,15240"
16,8046,1000,"-0.692686,8046"
16,2806,1000,"-0.726444,2806"
16,24341,1000,"-0.749018,24341"
16,15236,1000,"-0.782372,15236"
16,6710,1000,"-0.797995,6710"
16,7610,1000,"-0.814174,7610"
16,15304,1000,"-0.853189,15304"
16,6888,1000,"0.873677,6888"
16,15228,1000,"0.876587,15228"
16,24786,1000,"0.877725,24786"
16,7607,1000,"-0.880083,7607"
16,7624,1000,"-0.894333,7624"
16,7618,1000,"0.900781,7618"
16,15239,1000,"-0.903933,15239"
16,8047,1000,"-0.907218,8047"
16,24338,1000,"-0.924897,24338"
16,15296,1000,"0.929231,15296"
16,4006,1000,"-0.938787,4006"
16,21278,1000,"-0.945716,21278"
16,16795,1000,"-0.951272,16795"
16,8049,1000,"-0.952741,8049"
16,15237,1000,"-0.955066,15237"
16,7616,1000,"0.957208,7616"
16,7626,1000,"-0.961338,7626"
16,7609,1000,"-0.969387,7609"
16,7372,1000,"-0.982589,7372"
16,7371,1000,"-0.983021,7371"
16,15289,1000,"-0.986712,15289"
16,6889,1000,"0.990675,6889"
16,7608,1000,"-0.992403,7608"
16,7617,1000,"0.996974,7617"
16,15238,1000,"-0.997516,15238"
16,11110,1000,"-0.999161,11110"
17,12681,1000,"-0.636108,12681"
23,6276,1000,"-0.0496984,6276"
23,6268,1000,"-0.120247,6268"
23,6267,1000,"0.248254,6267"
23,6292,1000,"-0.380406,6292"
23,6269,1000,"-0.472351,6269"
23,4084,1000,"0.499407,4084"
23,6283,1000,"0.557519,6283"
23,1415,1000,"-0.788793,1415"
23,6273,1000,"-0.918381,6273"
23,23340,1000,"-0.937265,23340"
23,6281,1000,"0.972148,6281"
25,21848,1000,"0.0189037,21848"
25,3434,1000,"-0.0412087,3434"
25,4119,1000,"0.089576,4119"
25,51,1000,"0.0925697,51"
25,16561,1000,"-0.202863,16561"
25,1464,1000,"-0.255835,1464"
25,3408,1000,"0.269891,3408"
25,50,1000,"-0.27512,50"
25,21991,1000,"-0.308269,21991"
25,16763,1000,"-0.544929,16763"
25,49,1000,"-0.605291,49"
25,1563,1000,"0.621091,1563"
25,22011,1000,"0.73913,22011"
25,3521,1000,"0.755304,3521"
25,4680,1000,"-0.801638,4680"
25,2151,1000,"0.815197,2151"
25,3423,1000,"0.83339,3423"
25,4731,1000,"-0.853535,4731"
