MemberID,PhotoID,MemberPhotoRank,RandomValue
88,11850,1,"-0.135458,11850"
88,5944,1000,"-0.117197,5944"
88,14953,1000,"-0.286562,14953"
88,11290,1000,"0.325786,11290"
88,2144,1000,"-0.355587,2144"
88,11169,1000,"0.388721,11169"
88,5482,1000,"-0.412758,5482"
88,5942,1000,"0.655226,5942"
88,14461,1000,"0.67903,14461"
88,11134,1000,"0.681362,11134"
88,3393,1000,"-0.734885,3393"
88,11100,1000,"-0.735993,11100"
88,5941,1000,"0.904607,5941"
88,4861,1000,"-0.906486,4861"
88,5382,1000,"0.925442,5382"
88,11152,1000,"0.927482,11152"
88,2142,1000,"-0.930396,2142"
88,11188,1000,"-0.939471,11188"
88,2133,1000,"0.974375,2133"
88,5947,1000,"-0.978978,5947"
88,11801,1000,"0.984988,11801"
88,6333,1000,"0.990296,6333"
88,5479,1000,"-0.994741,5479"
88,11136,1000,"0.999942,11136"
88,11287,1000,"0.99996,11287"
89,5929,1000,"-0.160343,5929"
89,15226,1000,"0.172134,15226"
89,7423,1000,"0.397501,7423"
89,12158,1000,"-0.522139,12158"
89,10945,1000,"-0.621226,10945"
89,11149,1000,"0.648833,11149"
89,11134,1000,"0.681362,11134"
89,11100,1000,"-0.735993,11100"
89,7426,1000,"-0.744063,7426"
89,15296,1000,"-0.85046,15296"
89,5926,1000,"0.885182,5926"
89,15289,1000,"0.947917,15289"
89,15259,1000,"0.972042,15259"
89,11348,1000,"0.973043,11348"
89,6710,1000,"0.993056,6710"
89,10524,1000,"-0.995352,10524"
89,11136,1000,"0.999942,11136"
89,11287,1000,"0.99996,11287"
90,181,1,"-0.106683,181"
90,3080,1,"-0.53891,3080"
90,11702,2,"-0.986045,11702"
90,182,3,"0.30419,182"
90,1216,1000,"-0.0282554,1216"
90,10732,1000,"-0.0323821,10732"
90,6888,1000,"0.097911,6888"
90,15226,1000,"0.172134,15226"
90,21841,1000,"-0.191381,21841"
90,21842,1000,"0.221552,21842"
