EventID,MemberID,EventMemberRank
17,96,1000
25,337,1000
25,397,1000
25,1022,1000
28,124,1000
28,300,1000
28,416,1000
28,464,1000
28,698,1000
29,101,1000
30,101,1000
31,245,1000
31,434,1000
31,437,1000
31,628,1000
31,650,1000
31,664,1000
31,674,1000
31,1747,1000
31,2751,1000
31,2886,1000
33,96,1000
34,168,1000
34,301,1000
34,315,1000
34,486,1000
34,672,1
34,972,1000
34,1617,1000
34,1618,1000
34,1787,1000
34,2329,1
35,96,1000
35,210,1000
35,393,1000
35,609,1000
35,667,1000
35,671,1000
35,775,1000
35,788,1000
35,951,1000
35,1068,1000
35,1139,1000
35,1218,1000
35,1642,1000
35,1777,1000
37,96,1000
37,100,1000
37,106,1000
38,96,1000
38,100,1000
38,107,1000
38,596,1000
39,96,1000
39,99,1000
40,96,1000
41,96,1000
42,96,1000
42,108,1000
42,109,1000
43,96,1000
43,110,1000
44,96,1000
44,99,1000
44,100,1000
44,106,1000
44,111,1000
44,112,1000
44,113,1000
44,114,1000
44,115,1000
44,116,1000
44,117,1000
44,118,1000
44,119,1000
45,96,1000
45,100,1000
47,165,1000
47,296,1000
47,321,1000
47,553,1000
47,1167,1000
47,1361,1000
47,1502,1000
47,1525,1000
47,1710,1000
47,1845,1000
48,130,1000
48,173,1000
48,177,1000
48,241,1000
48,304,1000
48,340,1000
48,350,1000
48,465,1000
48,553,1000
48,641,1000
48,1000,1000
48,1016,1000
48,1047,1000
48,1138,1000
48,1147,1000
48,1150,1000
48,1160,1000
48,1179,1000
48,1255,1000
48,1263,1000
48,1365,1000
48,1468,1000
48,1473,1000
48,1474,1000
48,1525,1000
48,1552,1000
48,1573,1000
48,2159,1000
48,2346,1000
49,126,1000
49,157,1000
49,169,1000
49,613,1000
49,960,1000
49,1004,1000
49,1139,1000
49,1308,1000
49,1382,1000
49,1489,1000
49,1668,1000
49,1696,1000
49,1889,1000
49,1956,1000
49,2378,1000
52,128,1000
52,251,1000
52,276,1000
52,277,1000
52,458,1000
52,471,1000
52,997,1000
52,1173,1000
52,1276,1000
52,1296,1000
52,1471,1000
52,1970,1000
52,2307,1000
56,130,1000
57,130,1000
58,130,1000
87,115,1000
87,247,1000
87,405,1000
87,471,1000
87,1474,1000
87,1767,1000
87,2289,1000
87,2852,1000
88,119,1000
88,802,1000
88,803,1000
88,1109,1000
88,1381,1000
93,131,1000
94,110,1000
94,166,1000
94,257,1000
95,166,2
95,258,1000
96,204,1000
96,259,1000
97,126,2
97,204,1000
99,126,1000
99,204,1000
100,112,1000
100,204,1000
100,258,1000
100,261,1000
100,262,1000
101,209,1000
101,262,1000
101,263,1000
102,227,1000
103,125,1000
103,201,1000
103,227,1000
104,99,1000
104,100,1000
104,118,1000
104,227,1000
105,268,2
105,1911,2
108,314,1000
109,314,1000
109,2679,1000
111,315,1000
112,315,1000
113,315,1000
114,315,1000
115,288,1000
115,317,1000
115,334,1000
115,624,1000
115,794,1000
115,1001,1000
115,1820,1000
118,179,1000
118,259,1000
118,302,1000
118,397,1000
118,537,1000
118,819,1000
118,956,1000
118,958,1000
124,133,1000
124,149,1000
124,177,1000
124,219,1000
124,649,1000
124,652,1000
124,805,1000
124,833,1000
124,1252,1000
124,1326,1000
124,1580,1000
124,1585,1000
124,1586,1000
124,1799,1000
124,2119,1000
124,2685,1000
124,2708,1000
130,150,1000
130,391,1000
130,1352,1000
130,2436,1000
132,100,1000
132,118,1000
132,203,1000
132,397,1000
