ID,Name,Description,ImageName
1,כללי,כללי,event_type_general.gif
69,כדורסל,קבוצת הכדורסל של גבעת ברנר,event_type_general.gif
70,רפת,הפרות והשמנות,event_type_general.gif
71,צבא,לא לפציפיסטים,event_type_general.gif
150,חדר אוכל,חדר אוכל,event_type_general.gif
151,סיפורים מהבית,סיפורים אישיים,event_type_general.gif
152,סיפורי חברים,סיפורים ראשונים,event_type_general.gif
153,חקלאות,חקלאות,event_type_general.gif
154,הדיר,הדיר,event_type_general.gif
155,פרדס,פרדס,event_type_general.gif
156,עגש,"עג""ש",event_type_general.gif
157,בטחון,בטחון,event_type_general.gif
158,קליטה,קליטה,event_type_general.gif
159,מחסן בגדים,מחסן בגדים,event_type_general.gif
160,מלחמת העצמאות,מלחמת העצמאות,event_type_general.gif
161,פולקלור,פולקלור מקומי,event_type_general.gif
162,הפילוג,ה'פילוג',event_type_general.gif
163,סיפור חיים,סיפור חיים,event_type_general.gif
164,אחי גיבורי התהילה,אחי גיבורי התהילה,event_type_general.gif
165,הסטוריה,הסטוריה,event_type_general.gif
166,חברת הילדים,חברת הילדים,event_type_general.gif
167,שירי חברים,חברים כותבים,event_type_general.gif
168,שחיה,שחיה,event_type_general.gif
169,מוזיקה,מוזיקה בגבעה,event_type_general.gif
170,החינוך המשותף,החינוך המשותף,event_type_general.gif
171,ספורט,ספורט,event_type_general.gif
172,ים המלח,סיפורי ים המלח,event_type_general.gif
173,רימון,רימון,event_type_general.gif
174,מלחמת העולם השניה,מלחמת העולם השניה,event_type_general.gif
175,מחשבות חברים,דברי חברים,event_type_general.gif
176,בניין,בתים בגבעת ברנר,event_type_general.gif
177,בית ישע,בית ישע,event_type_general.gif
179,תרבות,"תרבות, הצגות וחגים",event_type_general.gif
180,נגריה,נגריה,event_type_general.gif
181,הצגות,הצגות,event_type_general.gif
182,חגים,חגים,event_type_general.gif
183,הצגות חוץ,חגים,event_type_general.gif
184,מוזיאון אוצרות גבעת ברנר,מוזיאון,event_type_general.gif
185,אמנות,אמנות,event_type_general.gif
186,אוכל,אוכל,event_type_general.gif
187,פורום,פורום,event_type_general.gif
188,"המחנה, נופי הגבעה",המחנה,event_type_general.gif
189,חברות נוער,חברת הילדים,event_type_general.gif
190,תעשיה,משק,event_type_general.gif
191,מלחמת יום הכיפורים,בטחון,event_type_general.gif
