ID,Name,Source,EventDate,Place,Description,KeyWords,EventRank,TypeID,ObjectID,StatusID,PageHits,DescriptionNoHtml
5,הלילה ה - 18,,,,,,1000,1,2,1,14,
6,המטוס מ - U.S.A,,,,,,1000,1,2,2,22,
10,הראשון לציון,מקור כלשהו,May 21 1904 12:00AM,זירת הפשע,"אין ספק שאם האינפורמציה לא הייתה מגיעה ממקור כלשהו לא היינו יודעים אותה. המזל הוא שמקור כלשהו היה עירני מספיק לשים לב להתרחשויות המהירות והבלתי פוסקות באותו יום מוזר של חודש מאי 1904. השמיים היו אפורים ואפילו הסטייק היה Well-Done.
לכן כעת, לאחר שבירת השורה, אפשר לסיים את הבלבול הבלתי פוסק הזה.",ראשון ציון פשע זירה מפתח מנעול,4,71,2,3,42,"אין ספק שאם האינפורמציה לא הייתה מגיעה ממקור כלשהו לא היינו יודעים אותה. המזל הוא שמקור כלשהו היה עירני מספיק לשים לב להתרחשויות המהירות והבלתי פוסקות באותו יום מוזר של חודש מאי 1904. השמיים היו אפורים ואפילו הסטייק היה Well-Done.
לכן כעת, לאחר שבירת השורה, אפשר לסיים את הבלבול הבלתי פוסק הזה."
16,חג העצמאות,ידע אישי,,,"<font size=""3"">&nbsp;<br/><font color=""#0000ff"">מסיבת יום העצמאות&nbsp;&nbsp;- ב&nbsp;22/4 בשעה 20:00 במגרש הטניס ליד אולם קרומהולץ<br/></font>וקצת הסטוריה על החג:<br/>את חג העצמאות הראשון חגגו חברי הגבעה יחד עם ילדיהם, כמו כל עם ישראל, בה' באייר 1948. הם יצאו בריקודי הורה סוערים עד אור הבוקר. עם השנים הפך יום העצמאות לאחד החגים המקוריים והחביבים על ילדי וחברי הגבעה. זה התחיל בטקס הזכרון בו הוקראו שמות חללי ג&quot;ב שנפלו במערכות ישראל ולאחר שהדגל הונף חזרה אל קצה התורן - נפתחו החגיגות. <br/>כל החברים והילדים&nbsp;(בחולצות לבנות) התאספו במצרינה סביב שולחנות ערוכים, שרו שירי מולדת, קראו שירים ודברים מהמקורות - החל מיציאת מצריים, עבור ל- 2000 שנות הגלות, השואה ותקומת מדינת ישראל. לכבוד החג חוברה 'הגדה' אליה נוספו פרקים הקשורים למדינת ישראל. אל המסורת שהתהוותה התחברה 'רביעיית גבעת ברנר' עם דני ורדון, יצחק תדמור, יצחק כהן, מנשה ארבל (ויורם אורן) שהפליאו בשירת 'דין דן' ו'דודו'. חלק בלתי נפרד מהמסכת היו ריקודי אבות ובנים - &quot;מלאו אסמינו בר&quot;, ריקוד החלוצים - &quot;תה ואורז&quot; בכיכובם של לייבלה ודינה שגב, &quot;הם היו עלמים צעירים&quot; - הצדעה לחלוצים וריקוד שמחת החג, בו עלו מיטב רקדני ורקדניות הגבעה וחוללו לקול תשואות הקהל. אחד החגים הזכור לבני הגבעה היה בשנת 1968 לאחר מלחמת ששת הימים, בו שרה הילדה הצעירה נחמה חי בת 11 את 'ירושלים של זהב' והקהל הצטרף אליה בהתרגשות. לשירי הסולו גם היה מקום נכבד, זה החל עם &quot;הרביעייה&quot; והמשיך עם&quot;סברענט ברידעלעך סברענט&quot; של אסתרקה ולאחר שנחנקה מדמעות החליפה אותה&nbsp;חייקה כורה, גאולה רהב ו&quot;באב אל ואד&quot;, &quot;דודו&quot; של תשנר,&nbsp; ואחר כך זהרו בשמי המצרינה דפנה מיינצר, קלר אורן, מיקה לכיש ועוד רבות וטובים.&nbsp; שרהלה רגב שנכנסה בהצלחה לנעלי אביה, מהוגי החג דאגה מדי שנה עם ועדת התרבות למצוא נושא מרכזי &quot;ברומה של תקופה&quot; - להנאת כל החוגגים. לאחר הטקס יצאו כל החברים וילדיהם ל'</font><a href=""http://givat-brenner.co.il/event.asp?eventID=122""><font size=""3"">יריד'</font></a><font size=""3""> - ארוע משפחתי משעשע בו שולבו משחקי כדור וגרב, מתקני כוח וזריזות בהם בלטו - הספוטניק וכדור הברזל, הפטיש הענק ודיג הבקבוקים. הפרסים שחולקו למצליחים ואווירת הקרנבל נמשכה בריקודים עד אור הבוקר. עם ביטול היריד עבר גם סדר העצמאות ל'קרומהולץ', שם הוא נחוג שנים רבות! <em>השנה&nbsp;יצא הטקס והחג שוב למגרשי הטניס שליד האולם</em>!&nbsp;<br/>חג שמח</font>",חג העצמאות,1000,182,2,4,2975," 
מסיבת יום העצמאות  - ב 22/4 בשעה 20:00 במגרש הטניס ליד אולם קרומהולץ
וקצת הסטוריה על החג:
את חג העצמאות הראשון חגגו חברי הגבעה יחד עם ילדיהם, כמו כל עם ישראל, בה' באייר 1948. הם יצאו בריקודי הורה סוערים עד אור הבוקר. עם השנים הפך יום העצמאות לאחד החגים המקוריים והחביבים על ילדי וחברי הגבעה. זה התחיל בטקס הזכרון בו הוקראו שמות חללי ג""ב שנפלו במערכות ישראל ולאחר שהדגל הונף חזרה אל קצה התורן - נפתחו החגיגות. 
כל החברים והילדים (בחולצות לבנות) התאספו במצרינה סביב שולחנות ערוכים, שרו שירי מולדת, קראו שירים ודברים מהמקורות - החל מיציאת מצריים, עבור ל- 2000 שנות הגלות, השואה ותקומת מדינת ישראל. לכבוד החג חוברה 'הגדה' אליה נוספו פרקים הקשורים למדינת ישראל. אל המסורת שהתהוותה התחברה 'רביעיית גבעת ברנר' עם דני ורדון, יצחק תדמור, יצחק כהן, מנשה ארבל (ויורם אורן) שהפליאו בשירת 'דין דן' ו'דודו'. חלק בלתי נפרד מהמסכת היו ריקודי אבות ובנים - ""מלאו אסמינו בר"", ריקוד החלוצים - ""תה ואורז"" בכיכובם של לייבלה ודינה שגב, ""הם היו עלמים צעירים"" - הצדעה לחלוצים וריקוד שמחת החג, בו עלו מיטב רקדני ורקדניות"
17,אברהם וטרוצקי,אברהם כץ,1918,רוסיה,"במוסקבה התקיימה הועידה השניה של האינטרנציונל סוציאליסטי. אברהם בן ה- 20 השיג כרטיס, לקח איתו שני פוד גרעינים (למכור ולשלם הוצאות נסיעה ושהות) ויצא לדרך. את השקים שם ברכבת והוא נאלץ בקור הרוסי לעמוד על המדרגות ולנסוע מחוץ לרכבת עד הבירה. שק גרעינים אחד נגנב, שלג כבד החל לרדת והנסיעה שאמורה היתה לארוך מספר שעות לקחה ..שבוע ימים. רועד וקפוא זכה אברהם לשמוע את הנאומים בכיכר, התרשם מאד מטרוצקי ומיד הלך לקנות 20 מ' בד. את הדרך חזרה עשה בקרון משא עטוף בבד וחולה בטיפוס, מתגרד בכינים אבל, שמע את טרוצקי..<br/>",,1000,151,2,2,1076,"במוסקבה התקיימה הועידה השניה של האינטרנציונל סוציאליסטי. אברהם בן ה- 20 השיג כרטיס, לקח איתו שני פוד גרעינים (למכור ולשלם הוצאות נסיעה ושהות) ויצא לדרך. את השקים שם ברכבת והוא נאלץ בקור הרוסי לעמוד על המדרגות ולנסוע מחוץ לרכבת עד הבירה. שק גרעינים אחד נגנב, שלג כבד החל לרדת והנסיעה שאמורה היתה לארוך מספר שעות לקחה ..שבוע ימים. רועד וקפוא זכה אברהם לשמוע את הנאומים בכיכר, התרשם מאד מטרוצקי ומיד הלך לקנות 20 מ' בד. את הדרך חזרה עשה בקרון משא עטוף בבד וחולה בטיפוס, מתגרד בכינים אבל, שמע את טרוצקי.."
23,טיול לנגב,,,,,,1000,1,2,4,671,
25,גן ירק,"לקסיקון ג""ב",1928-1956,,"<span lang=""HE"" dir=""rtl"" style=""FONT-SIZE: 12pt; LINE-HEIGHT: 115%; FONT-FAMILY: &quot;Arial&quot;,&quot;sans-serif&quot;; mso-ascii-font-family: Calibri; mso-hansi-font-family: Calibri; mso-fareast-font-family: Calibri; mso-fareast-language: EN-US; mso-ansi-language: EN-US; mso-bidi-language: HE""><font color=""#000000"">גן הירק - על גן ירק חשבו ראשוני ג&quot;ב כבר ב- 1928, אולם רק ב- 1930 הוקם הגן (מעל 44 דונם, מול פרדס ג' ומול מגרש הפועל הישן - גן ו'). הענף עתיר עבודת הידיים ריכז בתוכו מספר עובדים גדול, ביניהם חברות רבות. הלשון הגרמנית משלה בכיפה, הרבה הודות לגרטשן. בין ראשוני הגן היו אורי רוזנבלט (אביגד), יעקב אופנהיים ונפתלי שטל. תוצרת גן הירק הובאה ל'צריף הבלוקים' ליד מחסן הבגדים. התוצרת שווקה ל'תנובה' ועד 1940 'קררו' את הירקות בחבילות קש. בין היתר נעשה גם נסיון לגידול אספרגוס וריבס (ראברבר) להכנת קומפוט, שני הנסיונות לא עלו יפה. אחדים מהגידולים החשובים היו תפוחי אדמה, מלפפונים ועגבניות . עם חיסול הענף בשנת 1956 עבר גידול תפוחי האדמה למסגרת עג&quot;ש.</font></span>",ענפי חקלאות,1000,1,2,4,1126,"גן הירק - על גן ירק חשבו ראשוני ג""ב כבר ב- 1928, אולם רק ב- 1930 הוקם הגן (מעל 44 דונם, מול פרדס ג' ומול מגרש הפועל הישן - גן ו'). הענף עתיר עבודת הידיים ריכז בתוכו מספר עובדים גדול, ביניהם חברות רבות. הלשון הגרמנית משלה בכיפה, הרבה הודות לגרטשן. בין ראשוני הגן היו אורי רוזנבלט (אביגד), יעקב אופנהיים ונפתלי שטל. תוצרת גן הירק הובאה ל'צריף הבלוקים' ליד מחסן הבגדים. התוצרת שווקה ל'תנובה' ועד 1940 'קררו' את הירקות בחבילות קש. בין היתר נעשה גם נסיון לגידול אספרגוס וריבס (ראברבר) להכנת קומפוט, שני הנסיונות לא עלו יפה. אחדים מהגידולים החשובים היו תפוחי אדמה, מלפפונים ועגבניות . עם חיסול הענף בשנת 1956 עבר גידול תפוחי האדמה למסגרת עג""ש."
26,כלים חקלאיים,,,,"כבר מיומה הראשון של גבעת ברנר נזקקו החברים לכלים חקלאיים. ה'כלים' הראשונים היו זוג סוסים שנשאו את החבורה ביוני 1928 מרחובות אל גבעת הטרשים. אותן בהמות חרשו את אדמת הטרשים במחרשת עץ ואחר כך הובילו מים מהבאר שבקב' שילר לגבעה. לאחר מספר חודשים הצטרפו בהמות נוספות אל ה'צי החקלאי' וכלי חריש קילטור ושאיבת מים נוספו למצבת הכלים. לאחר דיונים שארכו ימים ושבועות הוחלט למכור 2 סוסים ולקנות טרקטור כאשר הטיעון המרכזי היה שבלילה כשהם נחים ממשיכים הסוסים לאכול ולצרוך..
יום חגיגי מיוחד היה יום הצטרפות ה'קלטרק' - טרקטור חדיש של שנות ה- 30 ומאז ועד שנות ה- 2000 הצטרפו מאות כלים, בהתחלה על שרשראות ונפט, אחר כך עם מנוע דיזל ובנזין, יחידות הידראוליות וכלים מודרנים עם קבינות ממוזגות ובקרת מחשב שדחקו את הכלים ה'ותיקים' אל סככת הגרוטאות. מועדון 'שרשרת' שהוקם עם קרוס החקלאות בארץ החזיר את ה'פרפר' והקלטרק' לשטח, אמנם רק בטקס הביכורים אבל לפחות קיבלו ה'זקנים' (הכלים וגם המפעילים) הזדמנות נוספת להעלות עשן ואבק..
עם פתיחת המוזיאון זכו כלים רבים לעדנה, לצבע ובעיקר שוב ל..מגע אנושי.","מוזיאון,חקלאות",1000,184,2,4,2557,"כבר מיומה הראשון של גבעת ברנר נזקקו החברים לכלים חקלאיים. ה'כלים' הראשונים היו זוג סוסים שנשאו את החבורה ביוני 1928 מרחובות אל גבעת הטרשים. אותן בהמות חרשו את אדמת הטרשים במחרשת עץ ואחר כך הובילו מים מהבאר שבקב' שילר לגבעה. לאחר מספר חודשים הצטרפו בהמות נוספות אל ה'צי החקלאי' וכלי חריש קילטור ושאיבת מים נוספו למצבת הכלים. לאחר דיונים שארכו ימים ושבועות הוחלט למכור 2 סוסים ולקנות טרקטור כאשר הטיעון המרכזי היה שבלילה כשהם נחים ממשיכים הסוסים לאכול ולצרוך..
יום חגיגי מיוחד היה יום הצטרפות ה'קלטרק' - טרקטור חדיש של שנות ה- 30 ומאז ועד שנות ה- 2000 הצטרפו מאות כלים, בהתחלה על שרשראות ונפט, אחר כך עם מנוע דיזל ובנזין, יחידות הידראוליות וכלים מודרנים עם קבינות ממוזגות ובקרת מחשב שדחקו את הכלים ה'ותיקים' אל סככת הגרוטאות. מועדון 'שרשרת' שהוקם עם קרוס החקלאות בארץ החזיר את ה'פרפר' והקלטרק' לשטח, אמנם רק בטקס הביכורים אבל לפחות קיבלו ה'זקנים' (הכלים וגם המפעילים) הזדמנות נוספת להעלות עשן ואבק..
עם פתיחת המוזיאון זכו כלים רבים לעדנה, לצבע ובעיקר שוב ל..מגע אנושי."
27,חקלאות,,,,,,1000,1,2,4,1623,
28,"קיצור תולדות עג""ש",שמואל קמיר,,,"קיצור תולדות ענף גידולי שדה <br/>כאשר הגעתי לג.ב. בסוף 1947 היו שלושה ענפי שדה : גן הירק, המספוא והפלחה או כפי כונה אז ענף זה,שדות המזרע. כל אדמותיה של גבעת ברנר כ-1000 ד' היו ליד הנקודה. גבולות השטחים היו: ה'שער האדום' במערב בגבול אדמות קבוצת שילר, ומחנה מרר, אז ברשות הצבא הבריטי מדרום. <br/>הפלחים עיבדו אדמות בתל נוף, ביבנה , ועל יד קבוץ אורים שבנגב. בתוך 1000 הד' שעל יד הבית היו כמה עשרות דונמים כרם,מטע שזיפים, זיתים ואבוקדו, שטחי גן הירק והמספוא . לכל ענף היה מרכז משלו , צריף ובו מחסן כלים וסככה לחדר האכילה. ארוחת הבוקר בכל ענף הייתה טקס חשוב ומשוכלל. התורן היה הולך לאסוף מהענפים את פירות העונה, מכין חביתה עם נקניק וכמויות אדירות של צ'יפס, וכאשר צלחה עליו הרוח ,היה חותך צנונים גדולים לפרוסות דקיקות , מפזר ביניהם מלח משחיל אותם על חוט ברזל מעל השולחן וכולם היו ממתינים בחוסר סבלנות שיפסיקו לטפטף מים בטרם הוכנסו אל תוך סלט. העגבניות בתוך &quot;הצלחת עם הסולמות&quot; שכבר הכילה חביתה וצ'יפס וכל מטעמי המטבח.<br/>בין האנשים בשטח היו : בגן - נפתלי שטל, נחמיה גאייר ,ואלי, יהודית ,הני נוסבאום ועוד. במספוא- מרדכי טל יוסף לניר וולטר היין ובפלחה זמי מוק ווילי צלרמאיר ויהודה חרש. העיבודים העיקריים בוצעו בכלים שנגררו על ידי בהמות והטרקטורים המעטים שהיו שייכים רק לפלחה, הגיעו לשטחי המספוא וגן הירק ,רק לבצוע חרישת השדות. היתר נעשה על ידי כמה זוגות פרדות וסוסים שעגלוניהם נחשבו לאצולה הכפרית . כל מי שידע לרתום זוג פרדות לעגלה או לשדד שדה או לעבור עם קולטיבטור בין שורות העגבניות או סלק המספוא , נחשב למכובד לפחות כמומחי מחשבים של שנות ה 2000 .<br/>לאחר מלחמת השחרור הכל השתנה. שטחי האדמות על יד הבית גדלו בהרבה וכל השטחים אשר עיבדנו בנגב, בתל נוף וביבנה נלקחו מאתנו. נחפרו מספר בארות ולאט לאט החלו לרשת בצינורות השקיה את מרבית השטחים, והפלחה צמצמה עצמה לאדמות שטרם ניתן היה להשקותם. גן הירק נכנע לתחרות מגדלי הירקות של המושבים החדשים וצמצם את מספר הגדולים ושטחם , כך שביום בהיר אחד באמצע שנות ה- 50 הרגשנו שאין כבר הצדקה לקיום שלושה ענפי שדה נפרדים. ראשון המנהלים של הענף המאוחד היה נחמיה גאייר . הוא נעזר בכל הוותיקים בין החקלאים וביצע את האיחוד בצורה מוצלחת על אף הקשיים הרבים (<a href=""http://givat-brenner.co.il/event.asp?eventID=617"">המשך</a>)","עג""ש",1000,156,2,4,2441,"קיצור תולדות ענף גידולי שדה 
כאשר הגעתי לג.ב. בסוף 1947 היו שלושה ענפי שדה : גן הירק, המספוא והפלחה או כפי כונה אז ענף זה,שדות המזרע. כל אדמותיה של גבעת ברנר כ-1000 ד' היו ליד הנקודה. גבולות השטחים היו: ה'שער האדום' במערב בגבול אדמות קבוצת שילר, ומחנה מרר, אז ברשות הצבא הבריטי מדרום. 
הפלחים עיבדו אדמות בתל נוף, ביבנה , ועל יד קבוץ אורים שבנגב. בתוך 1000 הד' שעל יד הבית היו כמה עשרות דונמים כרם,מטע שזיפים, זיתים ואבוקדו, שטחי גן הירק והמספוא . לכל ענף היה מרכז משלו , צריף ובו מחסן כלים וסככה לחדר האכילה. ארוחת הבוקר בכל ענף הייתה טקס חשוב ומשוכלל. התורן היה הולך לאסוף מהענפים את פירות העונה, מכין חביתה עם נקניק וכמויות אדירות של צ'יפס, וכאשר צלחה עליו הרוח ,היה חותך צנונים גדולים לפרוסות דקיקות , מפזר ביניהם מלח משחיל אותם על חוט ברזל מעל השולחן וכולם היו ממתינים בחוסר סבלנות שיפסיקו לטפטף מים בטרם הוכנסו אל תוך סלט. העגבניות בתוך ""הצלחת עם הסולמות"" שכבר הכילה חביתה וצ'יפס וכל מטעמי המטבח.
בין האנשים בשטח היו : בגן - נפתלי שטל, נחמיה גאייר ,ואלי, יהודית ,הני נוסבאום ועוד. במספוא- מר"
