ID,Description
1,"אדם בא לאלוהים ושואל אותו: ""למה עשית את חווה כל כך יפה?"".@אלוהים עונה לו: ""כדי שתאהב אותה"".@אדם שואל: ""ולמה עשית אותה כל כך מטומטמת?""@אלוהים משיב: ""כדי שהיא תוכל לאהוב אותך""...~"
2,"ז'וז'ו זכה בלוטו...@בא הביתה לאישתו בשיא ההתלהבות ואומר לה: ""ז'קלין תארזי!"".@היא אומרת לו: ""למה כפרה, לאן נוסעים?"".@""לא נוסעים, את עוזבת""...~"
3,ידיעה בעיתון:@נמצאו הורמונים נקביים בבירה.@מי ששותה את הבירה נוהג לא טוב ומדבר שטויות...~
4,"שאלה: מה אומרת פולניה כשהיא מסתכלת בראי?@תשובה: ""מגיע לו!""...~"
5,"חקלאי אחד התפאר תמיד כמה התרנגול שלו יכול להרביע.@באחד מן הימים ניגש אליו שכנו ואומר לו:@""יש לי שישה לולים של תרנגולות, נראה אם התרנגול שלך ירביע את כו-לם"".@מכניסים את התרנגול ללול והוא מרביע בקצב את כל התרנגולות אחת אחרי השנייה.@כך גם ביתר הלולים.@השכן אומר לו: ""תרנגולות זו לא חוכמה, בוא ננסה את התרנגול שלך ברפת שלי, שם יש לי 50 פרות"".@מביאים את התרנגול והוא מרביע את כל הפרות באותו קצב מסחרר.@יוצא מהרפת ונשכב על הארץ.@""אתה רואה?! התרנגול שלך מת!"", אומר השכן בגאווה.@""שתוק"", צורח התרנגול, ""אתה מבריח את הנשרים""...~"
6,"לראש שבט באפריקה נולד בן, לבן כסיד.@ראש השבט מחליט ללכת לטרזן ואומר לו:@""נולד לי ילד לבן, אתה הלבן היחידי בכל האזור, אתה שכבת עם אישתי ואני הולך להרוג אותך!"".@טרזן עוצר את ראש השבט ואומר לו:@""אז מה אם הילד שלך נולד לבן, הנה ממול עז לבנה ויש לה גדיים שחורים"".@""טוב"", אומר ראש השבט בתבוסה, ""אם אתה לא תגלה, אני לא אגלה!""...~"
7,שאלה: למה אלוהים יצר קודם את הגבר ואחר-כך את האישה?@תשובה: לפני כל יצירה עושים קודם טיוטה...~
8,"האיש המושלם, האישה המושלמת וסנטה-קלאוס מתנגשים בתאונת דרכים.@מי נשאר בחיים?@האישה!@כי האיש המושלם וסנטה-קלאוס לא קיימים...~"
9,"לאיש אחד התגלה השטן.@השטן אומר לו: ""באתי לקחת את הנשמה שלך"".@אז האיש צועק: ""נשמה, באו לקחת אותך""...~"
10,"בחור נכנס לתא כומר.@הכומר שואל אותו: ""כן בני, על מה רצית להתוודות?"".@הבחור אומר: ""ביממה האחרונה שכבתי עם חמש בחורות שונות"".@הכומר: ""איזה מן קתולי אתה?"".@הבחור: ""אני לא קתולי, אני ישראלי והייתי חייב לספר למישהו!""...~"
