ID,Name,TermTranslation,Background,InventedBy,InventedByMemberID,ObjectID,StatusID,PageHits,BackgroundNoHtml
8,ה'נקודה',המקום אליו עלו הראשונים,"הויכוח על מיקום 'הנקודה' ניטש כמעט 75 שנה. אמנם 'הנקודה' היתה השם הלא רשמי של מחנה פלוגת עין חרוד שעלתה על הקרקע מרחובות - אבל האם מרכז 'הנקודה' הוא 'הבית הגדול' או המחנה הזמני בעמק 'עור פאטמה', היכן שנמצא הלול היום. לשונאים וגיאוגרפים מכל הדורות ניסו את כוחם בהגדרת המושג ה'מתמטי' הזה, ועד היום לא נמצא מענה מוסכם. מבקרי האתר מוזמנים להציע פתרון!","לא ידוע, בינתיים",-1,4,2,1853,"הויכוח על מיקום 'הנקודה' ניטש כמעט 75 שנה. אמנם 'הנקודה' היתה השם הלא רשמי של מחנה פלוגת עין חרוד שעלתה על הקרקע מרחובות - אבל האם מרכז 'הנקודה' הוא 'הבית הגדול' או המחנה הזמני בעמק 'עור פאטמה', היכן שנמצא הלול היום. לשונאים וגיאוגרפים מכל הדורות ניסו את כוחם בהגדרת המושג ה'מתמטי' הזה, ועד היום לא נמצא מענה מוסכם. מבקרי האתר מוזמנים להציע פתרון!"
10,פרימוס ופתילייה,כלי חימום ו/או שותפים 'סמויים' לאוהל,"
בימים כתיקונם (החל מאמצע שנות ה- 30) אלו כלים נפוצים להבערת אש לשימוש ביתי.
בראשית ימי ג""ב לכל זוג באוהל צורף דייר נוסף (פרימוס) או זוג דיירים (פתילייה).
למשל, יעקב ואנני היו ה'פתילייה' של אחיו הבכור יחיאל ורעייתו מילכה.
",,-1,4,2,2809,"
בימים כתיקונם (החל מאמצע שנות ה- 30) אלו כלים נפוצים להבערת אש לשימוש ביתי.
בראשית ימי ג""ב לכל זוג באוהל צורף דייר נוסף (פרימוס) או זוג דיירים (פתילייה).
למשל, יעקב ואנני היו ה'פתילייה' של אחיו הבכור יחיאל ורעייתו מילכה.
"
11,מצרינה,אולם ליל הסדר. אולם הספורט הביתי של ג,"קצת לפני האביב חיפשו פרנסי ישוב מקום ראוי וגדול לעריכת סדר פסח. המקום נבחר ומסגרי הקיבוץ אילתרו מבנה על קונסטרוקציות ברזל שעל הכנתו לפסח שקדו יומם וליל.
באחת מארוחות העשר, טרם חנוכת המקום חיפשו שם למבנה. הויכוח התלהט ואחד הציע:
אולם ספורט זה ארינה, אבל זה בשביל פסח, קפץ שני והוסיף: בפסח אוכלים מצות אז שיהיה מצרנה, וכך בהפסקת עשר אחת נולד השם.
",הומצא כנראה במסגריה,-1,4,2,2252,"קצת לפני האביב חיפשו פרנסי ישוב מקום ראוי וגדול לעריכת סדר פסח. המקום נבחר ומסגרי הקיבוץ אילתרו מבנה על קונסטרוקציות ברזל שעל הכנתו לפסח שקדו יומם וליל.
באחת מארוחות העשר, טרם חנוכת המקום חיפשו שם למבנה. הויכוח התלהט ואחד הציע:
אולם ספורט זה ארינה, אבל זה בשביל פסח, קפץ שני והוסיף: בפסח אוכלים מצות אז שיהיה מצרנה, וכך בהפסקת עשר אחת נולד השם.
"
12,הסימטה,דרך - כביש הכניסה לגבעת ברנר,"מאז ומעולם היתה ה'סימטה' הכניסה הראשית לג""ב מקור לא אכזב לבעיות תעבורה. בקיץ אבנים ובחורף בוץ. הוחלט לשכנע את הנציב העליון שחייבים לסלול כביש. הזמינו אותו ביום חורף, ובאותו הבוקר יצאו עגלות עמוסות חביות מים ש'הישקו' את הדרך. כשהפמליה שלו שקעה בבוץ, נקשר אליה הסוס (שחיכה בפינה) ואחר כבוד הועלו לגבעה. הנציב שוכנע וה'סימטה' היתה לכביש. אגדות (אנסים) ואמונות תפלות נקשרו לרוחות ולסכנות שסבבו את ה'סימטה' אך הקורבן היחיד שנפגע ב'סימטה' היה פוטשקה שנורה באופן מסתורי ברגלו במלחמת השחרור..
",עממי,-1,4,2,1949,"מאז ומעולם היתה ה'סימטה' הכניסה הראשית לג""ב מקור לא אכזב לבעיות תעבורה. בקיץ אבנים ובחורף בוץ. הוחלט לשכנע את הנציב העליון שחייבים לסלול כביש. הזמינו אותו ביום חורף, ובאותו הבוקר יצאו עגלות עמוסות חביות מים ש'הישקו' את הדרך. כשהפמליה שלו שקעה בבוץ, נקשר אליה הסוס (שחיכה בפינה) ואחר כבוד הועלו לגבעה. הנציב שוכנע וה'סימטה' היתה לכביש. אגדות (אנסים) ואמונות תפלות נקשרו לרוחות ולסכנות שסבבו את ה'סימטה' אך הקורבן היחיד שנפגע ב'סימטה' היה פוטשקה שנורה באופן מסתורי ברגלו במלחמת השחרור..
"
13,הבית הגדול,בית סרני,"הבית הראשון שנבנה על פסגת הגבעה במשך שנה( 1930) שימש לתפקידים רבים: מגורים, מרפאה, חדרי חולים, דואר, משרד המזכירות. ב- 1947 שופץ והותאם כבית תרבות, צורף אליו אולם תיאטרון והמבנה כולו הוסב על שמו של חיים אנצו סרני שיצא כצנחן בשליחות לאירופה, נתפס והוצא להורג במחנה הריכוז דכאו.  הבית שלפני שינויו היה מוקף אוהלים נעשה לסמל הישוב. ממגדלו אותתו תשדורות בטחוניות לישובי הסביבה. בשל צבעו הלבן הנראה למרחקים קראו לו הערבים 'קלעת אל אביאד' - ""המבצר הלבן"", ובאמת היה בית בטחון בשביל הישוב הקטן.
",עממי,-1,4,2,1995,"הבית הראשון שנבנה על פסגת הגבעה במשך שנה( 1930) שימש לתפקידים רבים: מגורים, מרפאה, חדרי חולים, דואר, משרד המזכירות. ב- 1947 שופץ והותאם כבית תרבות, צורף אליו אולם תיאטרון והמבנה כולו הוסב על שמו של חיים אנצו סרני שיצא כצנחן בשליחות לאירופה, נתפס והוצא להורג במחנה הריכוז דכאו.  הבית שלפני שינויו היה מוקף אוהלים נעשה לסמל הישוב. ממגדלו אותתו תשדורות בטחוניות לישובי הסביבה. בשל צבעו הלבן הנראה למרחקים קראו לו הערבים 'קלעת אל אביאד' - ""המבצר הלבן"", ובאמת היה בית בטחון בשביל הישוב הקטן.
"
14,קיר המוות,     השכונה הראשונה בגבעה,"בשנת 1934 אוכלוסיית המקום מנתה 200 נפש בקירוב. הפלוגה השתדלה להתבסס כלכלית ללא השקעות נוספות. נקנו עוד אוהלים, סחבו בלוקים מהסביבה והקימו אחר שעות העבודה את ""שיכון הותיקים"" המשוכלל של התקופה.  באותה עת היתה ברחובות הופעת להטוטנים לאופנועים שטיפסו על כותל בשם ""קיר המוות"". כינוי זה דבק משום מה בשיכון זה עד סוף ימיו.
הקירות נערמו מבלוקים שלא חוברו בטיט, הרצפה הודקה בחמרה לחה, כפי שהדבר נעשה גם באוהלים. הגג הורכב בחלקו מפחים ישנים ובחלקו משקים מרוחים בסיד. ",עממי,-1,4,2,2268,"בשנת 1934 אוכלוסיית המקום מנתה 200 נפש בקירוב. הפלוגה השתדלה להתבסס כלכלית ללא השקעות נוספות. נקנו עוד אוהלים, סחבו בלוקים מהסביבה והקימו אחר שעות העבודה את ""שיכון הותיקים"" המשוכלל של התקופה.  באותה עת היתה ברחובות הופעת להטוטנים לאופנועים שטיפסו על כותל בשם ""קיר המוות"". כינוי זה דבק משום מה בשיכון זה עד סוף ימיו.
הקירות נערמו מבלוקים שלא חוברו בטיט, הרצפה הודקה בחמרה לחה, כפי שהדבר נעשה גם באוהלים. הגג הורכב בחלקו מפחים ישנים ובחלקו משקים מרוחים בסיד. "
15,בית סוכנות,בתי החומה א' - י',"את 'בתי הסוכנות' יחד עם בנין המקלחת הגדולה ובית השימוש שהוקמו כשירותים סניטריים ציבוריים ליד בתי המגורים החלו לבנות בשנת 1934 וסיימו ב- 1938. תכניות הבתים נתקבלו כתנאי לקבלת הלוואות מן הסוכנות (ל- 30 שנה ללא ריבית). בתים דומים לאלו אפשר למצוא בכל משק ותיק. בית א'(הארכיון) נבנה לפי דוגמת 'הבית הגדול' עם מגדל המשמש בית מדרגות וגג לבילוי הדיירים. הוא עלה 612 לא""י, סכום גבוה למדי. לפיכך ויתרו על המגדל ביתר 9 הבתים.",עממי,-1,4,2,1925,"את 'בתי הסוכנות' יחד עם בנין המקלחת הגדולה ובית השימוש שהוקמו כשירותים סניטריים ציבוריים ליד בתי המגורים החלו לבנות בשנת 1934 וסיימו ב- 1938. תכניות הבתים נתקבלו כתנאי לקבלת הלוואות מן הסוכנות (ל- 30 שנה ללא ריבית). בתים דומים לאלו אפשר למצוא בכל משק ותיק. בית א'(הארכיון) נבנה לפי דוגמת 'הבית הגדול' עם מגדל המשמש בית מדרגות וגג לבילוי הדיירים. הוא עלה 612 לא""י, סכום גבוה למדי. לפיכך ויתרו על המגדל ביתר 9 הבתים."
16,המחסן המרכזי,מבנה השירותים ליד העיגול,"נבנה ב- 1936 ושמר באופן כללי על צורתו המקורית. סיגריות ומצרכים אישיים חולקו בחדר האוכל. במחסן זה נערכה גם ועידת הקיבוץ בשנת 1942 בה סופר לראשונה על זוועות השואה. במחסן שוכנו לצד האורווה והזגג, אריך איטל ומשה גוטליב.מבנה זה תוכנן ע""י פרופ. היברשיים.
",,-1,4,2,1762,"נבנה ב- 1936 ושמר באופן כללי על צורתו המקורית. סיגריות ומצרכים אישיים חולקו בחדר האוכל. במחסן זה נערכה גם ועידת הקיבוץ בשנת 1942 בה סופר לראשונה על זוועות השואה. במחסן שוכנו לצד האורווה והזגג, אריך איטל ומשה גוטליב.מבנה זה תוכנן ע""י פרופ. היברשיים.
"
17,ה'מליונרים',שכונת יוקרה לותיקים,"ב- 1938 התחילו דיונים על הקמת שכונה חדשה, הפעם בתשומת לב רבה לרמת הדיור. הכינוי ""שכונת המליונרים"" בא להראות על כך, ועדיין קרויה השכונה בשם זה למרות שועדת שמות מיוחדת קבעה לה שם אחר, 'חירות' ע""ש קבוץ ההכשרה של ראשוני ג""ב. עד 1941 הוקמו שם 18 צריפים ובית שימוש ציבורי. תוך 8 שנים נוספו עוד 12 בתים בנויים. שטח הדירה התקנית נקבע ע""י ועדת התכנית של הקיבוץ המאוחד והיה 12 מ""ר...אין פלא שמרפסות פרחו באוויר והיו חלק בלתי נפרד מה'חדר'.",כינוי עממי,-1,4,2,1997,"ב- 1938 התחילו דיונים על הקמת שכונה חדשה, הפעם בתשומת לב רבה לרמת הדיור. הכינוי ""שכונת המליונרים"" בא להראות על כך, ועדיין קרויה השכונה בשם זה למרות שועדת שמות מיוחדת קבעה לה שם אחר, 'חירות' ע""ש קבוץ ההכשרה של ראשוני ג""ב. עד 1941 הוקמו שם 18 צריפים ובית שימוש ציבורי. תוך 8 שנים נוספו עוד 12 בתים בנויים. שטח הדירה התקנית נקבע ע""י ועדת התכנית של הקיבוץ המאוחד והיה 12 מ""ר...אין פלא שמרפסות פרחו באוויר והיו חלק בלתי נפרד מה'חדר'."
18,העיגול,הכיכר בכניסה למשק," בכניסה למשק היה ספסל אליו הועבר עץ פיקוס שנשתרש היטב באדמה. סביבו יצקו הבנאים כיכר קטנה והוצב ספסל בטון. ה'עיגול' שימש מאז את הטרמפיסטים (ואת משחקי הילדים). אחד היושבים הקבועים ב'עיגול' היה אורי גאופ בנעליו ההולנדיות שהיה  מקדם בברכה כל אורח ובצביטה בלחי, כל ילד.
",עממי,-1,4,2,2017," בכניסה למשק היה ספסל אליו הועבר עץ פיקוס שנשתרש היטב באדמה. סביבו יצקו הבנאים כיכר קטנה והוצב ספסל בטון. ה'עיגול' שימש מאז את הטרמפיסטים (ואת משחקי הילדים). אחד היושבים הקבועים ב'עיגול' היה אורי גאופ בנעליו ההולנדיות שהיה  מקדם בברכה כל אורח ובצביטה בלחי, כל ילד.
"
