EventID,PhotoID
5,
6,
10,
16,15235
17,12681
23,6292
25,21848
26,53
27,707
28,2156
29,12536
30,
31,3958
32,56
33,12816
34,353
35,707
36,73
37,15222
38,1635
39,3258
40,
41,
42,12945
43,12816
44,2441
45,2055
46,919
47,9227
48,922
49,3287
50,1803
51,5902
52,21988
53,4694
54,276
55,4709
56,13303
57,2918
58,2918
59,14953
60,3394
61,4499
62,3631
63,14954
64,178
65,24371
66,188
67,188
68,247
69,14311
70,197
71,4063
72,1398
73,917
74,919
75,14705
76,239
77,1727
78,15444
79,19231
80,8731
81,263
82,277
83,919
84,5868
85,416
86,510
87,529
88,530
89,21741
91,743
92,921
93,
94,710
95,12576
96,12783
97,5323
98,
99,
100,12646
101,11806
102,12549
103,
104,17073
105,13568
106,541
108,13095
109,11758
111,
112,12753
113,14953
114,
115,778
116,927
118,1591
119,717
120,21351
121,3073
122,11206
123,15558
124,3962
125,14705
126,8166
127,989
128,14705
129,4757
130,1729
131,2340
132,
133,2902
134,2896
136,12884
137,24248
138,2902
139,12553
140,3441
141,
142,2933
143,12799
144,3019
145,12475
146,12475
147,12475
148,12475
149,8807
150,13227
151,13227
152,3571
153,3571
154,3571
155,3571
156,3571
157,3571
158,3571
159,
160,
161,3571
162,3571
163,3571
164,3571
165,20949
166,4695
167,4107
168,
169,989
170,
171,4695
172,2441
173,13216
174,13305
175,3258
176,13650
177,917
178,
179,
180,
181,
182,
183,
184,288
185,14700
186,288
187,12681
188,2441
189,288
190,5752
191,19449
192,
193,
194,
195,275
196,
197,13183
198,3732
199,2476
200,
201,
202,2373
203,5025
204,2309
205,18103
206,
207,2059
208,2918
209,13222
210,12515
211,2918
212,
213,5407
214,5407
215,5407
216,
217,
218,2933
219,
220,
221,
222,2471
223,3431
224,3500
225,12871
226,4650
227,
228,
229,
230,12549
231,1421
232,1421
233,12650
234,
235,
236,12090
237,
238,12873
239,4598
240,3017
241,2926
242,
243,2926
244,
245,12453
246,
247,4777
248,4761
249,
250,12584
251,12584
252,12584
253,12584
254,13397
255,
256,
257,2365
258,
259,2860
261,2468
262,13101
263,13101
264,
265,2377
266,2860
267,
268,
269,5634
270,5634
271,5634
272,5634
273,5634
274,5634
275,5634
276,5634
277,8249
278,369
279,369
280,369
281,369
282,369
283,
284,12454
285,4072
286,4072
287,
288,16536
289,3424
290,
291,12384
292,3571
293,2933
294,2933
295,2933
296,4105
297,7851
298,7851
299,921
300,7851
301,18891
302,
303,7851
304,7851
305,5863
306,19004
307,13001
308,2853
309,2853
310,
311,2853
312,2853
313,15430
314,3643
315,
316,
317,2548
318,1136
319,12766
320,21987
321,4666
322,15564
323,526
324,
325,4660
326,
327,
328,1553
329,3426
330,14705
331,1377
332,3924
333,2873
336,
337,3499
338,7921
339,
340,760
342,22830
343,8347
345,3065
346,14707
347,
348,
349,8591
351,
352,
353,3499
354,2007
355,5857
356,1488
357,18450
359,1832
360,14246
361,7561
362,
363,
364,
365,8250
366,
367,
368,2938
369,2938
370,
371,3424
372,3424
373,3424
374,3424
375,11735
376,11735
377,13422
378,13422
379,13422
380,
381,12188
382,12411
383,
384,6731
385,
386,13305
387,13305
388,13305
389,13305
390,
391,12380
392,
393,
394,
395,2921
396,
397,
398,
399,
400,13330
401,19445
402,7417
403,12966
404,11632
405,11632
406,11632
407,
408,11973
409,12692
410,7417
411,3505
412,12800
413,13227
414,
415,3378
416,13218
417,13218
418,12262
419,12553
420,12553
421,3781
422,12553
423,
425,4602
426,12553
427,12553
428,20499
