EventID,FixedRandomValue,EventPhotoRank
5,,
6,,
10,,
16,"7.400830.00156728,7628",1000
16,"7.400830.0199314,15238",1000
16,"7.400830.0214984,7610",1000
16,"7.400830.0355938,11140",1000
16,"7.400830.166353,7621",1000
16,"7.400830.185973,7617",1000
16,"7.400830.345362,7624",1000
16,"7.40083-0.3584,8049",1000
16,"7.40083-0.365458,15234",1000
16,"7.40083-0.366916,7606",1000
16,"7.40083-0.38434,24343",1000
16,"7.40083-0.392604,15296",1000
16,"7.400830.393644,16795",1000
16,"7.400830.434523,6888",1000
16,"7.400830.477893,7607",1000
16,"7.400830.479269,15235",1000
16,"7.400830.493944,15259",1000
16,"7.40083-0.53881,15289",1000
16,"7.400830.552377,2131",1000
16,"7.400830.617361,15228",1000
16,"7.400830.62534,7372",1000
16,"7.40083-0.634131,7618",1000
16,"7.40083-0.673309,20942",1000
16,"7.40083-0.673632,21278",1000
16,"7.400830.677225,11132",1000
16,"7.40083-0.743537,11141",1000
16,"7.40083-0.752893,7611",1000
16,"7.40083-0.753923,15239",1000
16,"7.400830.774742,8046",1000
16,"7.400830.779507,15237",1000
16,"7.400830.780488,7609",1000
16,"7.40083-0.841042,24341",1000
16,"7.400830.846415,20944",1000
16,"7.40083-0.851886,15232",1000
16,"7.40083-0.855827,8051",1000
16,"7.400830.862948,7622",1000
16,"7.400830.872848,7616",1000
16,"7.40083-0.883137,15226",1000
16,"7.40083-0.896518,15304",1000
16,"7.400830.900642,11110",1000
16,"7.400830.922638,6710",1000
16,"7.40083-0.948375,15233",1000
16,"7.40083-0.954637,24342",1000
16,"7.400830.961108,2806",1000
16,"7.400830.961945,4006",1000
16,"7.400830.969567,6889",1000
16,"7.400830.980345,7608",1000
16,"7.400830.980653,15236",1000
16,"7.400830.982107,8047",1000
16,"7.40083-0.984634,7626",1000
16,"7.40083-0.987675,15240",1000
16,"7.400830.993775,2130",1000
16,"7.40083-0.995457,11106",1000
16,"7.400830.996049,203",1000
16,"7.400830.998657,24338",1000
16,"7.400830.999774,7371",1000
16,"7.40083-0.99995,7619",1000
17,"7.40083-0.856187,12681",1000
23,"7.40083-0.168411,6269",1000
23,"7.40083-0.183921,6273",1000
23,"7.40083-0.328562,6276",1000
23,"7.400830.339884,4084",1000
23,"7.400830.442266,23340",1000
23,"7.40083-0.479726,6283",1000
23,"7.40083-0.779181,6281",1000
23,"7.40083-0.864002,6268",1000
23,"7.400830.882893,6292",1000
23,"7.40083-0.914274,1415",1000
23,"7.40083-0.94063,6267",1000
25,"7.40083-0.104527,16561",1000
25,"7.400830.177671,3408",1000
25,"7.40083-0.281148,50",1000
25,"7.40083-0.281816,4680",1000
25,"7.400830.298643,4731",1000
25,"7.40083-0.441019,22011",1000
25,"7.40083-0.462682,4119",1000
25,"7.400830.555493,51",1000
25,"7.40083-0.561558,12473",1000
25,"7.400830.576945,1563",1000
25,"7.40083-0.58495,21848",1000
25,"7.40083-0.653841,16763",1000
25,"7.400830.660467,3423",1000
25,"7.40083-0.737218,1464",1000
25,"7.40083-0.789547,3434",1000
25,"7.40083-0.916378,49",1000
25,"7.400830.92678,2151",1000
25,"7.400830.927107,14409",1000
25,"7.40083-0.967266,21991",1000
25,"7.40083-0.999671,3521",1000
26,"1.565080.720653,53",2
26,"7.400830.0676704,870",1000
26,"7.40083-0.0787823,1028",1000
26,"7.400830.128732,1125",1000
26,"7.400830.130372,14947",1000
26,"7.40083-0.28649,999",1000
26,"7.400830.306358,3979",1000
26,"7.400830.314056,23402",1000
