EventID,PhotoID,EventPhotoRank,RandomValue
5,,,
6,,,
10,,,
16,6710,1000,"0.0619353,6710"
16,15304,1000,"0.0803987,15304"
16,8051,1000,"-0.0859594,8051"
16,20944,1000,"-0.0903169,20944"
16,8049,1000,"-0.109239,8049"
16,20942,1000,"-0.113586,20942"
16,8047,1000,"-0.132458,8047"
16,8046,1000,"-0.144041,8046"
16,15296,1000,"0.173173,15296"
16,2131,1000,"-0.207777,2131"
16,2130,1000,"-0.219203,2130"
16,15289,1000,"0.253136,15289"
16,4006,1000,"0.26779,4006"
16,15259,1000,"0.570233,15259"
16,21278,1000,"-0.624363,21278"
16,203,1000,"0.694248,203"
16,15240,1000,"0.737261,15240"
16,15239,1000,"0.745112,15239"
16,15238,1000,"0.752861,15238"
16,15237,1000,"0.760508,15237"
16,15236,1000,"0.76805,15236"
16,15235,1000,"0.775487,15235"
16,15234,1000,"0.782818,15234"
16,15233,1000,"0.790042,15233"
16,15232,1000,"0.797158,15232"
16,15228,1000,"0.824521,15228"
16,7606,1000,"0.837424,7606"
16,15226,1000,"0.83753,15226"
16,7607,1000,"0.843759,7607"
16,7608,1000,"0.849979,7608"
16,7609,1000,"0.856082,7609"
16,7610,1000,"0.862068,7610"
16,7611,1000,"0.867936,7611"
16,11106,1000,"-0.885068,11106"
16,7616,1000,"0.895481,7616"
16,6889,1000,"-0.895719,6889"
16,7617,1000,"0.900625,7617"
16,6888,1000,"-0.900858,6888"
16,7618,1000,"0.905646,7618"
16,11110,1000,"-0.905867,11110"
16,7619,1000,"0.910544,7619"
16,7621,1000,"0.919964,7621"
16,24343,1000,"0.923695,24343"
16,7622,1000,"0.924486,7622"
16,24342,1000,"0.928113,24342"
16,24341,1000,"0.932403,24341"
16,7624,1000,"0.933149,7624"
16,7626,1000,"0.941302,7626"
16,24338,1000,"0.944508,24338"
16,7628,1000,"0.94894,7628"
16,7371,1000,"-0.982913,7371"
16,11132,1000,"-0.983831,11132"
16,7372,1000,"-0.984998,7372"
16,2806,1000,"0.985801,2806"
16,11140,1000,"-0.996261,11140"
16,16795,1000,"0.996883,16795"
16,11141,1000,"-0.997203,11141"
17,12681,1000,"-0.611329,12681"
23,23340,1000,"0.335359,23340"
23,4084,1000,"-0.598128,4084"
23,1415,1000,"-0.745569,1415"
23,6267,1000,"-0.862422,6267"
23,6268,1000,"-0.868283,6268"
23,6269,1000,"-0.874026,6269"
23,6273,1000,"-0.895792,6273"
23,6276,1000,"-0.910832,6276"
23,6281,1000,"-0.9334,6281"
23,6283,1000,"-0.941538,6283"
23,6292,1000,"-0.971724,6292"
25,2151,1000,"0.024609,2151"
25,22011,1000,"-0.176616,22011"
25,3521,1000,"-0.333199,3521"
25,21991,1000,"-0.399948,21991"
25,1563,1000,"-0.538999,1563"
25,49,1000,"0.542228,49"
25,50,1000,"0.552018,50"
25,51,1000,"0.561732,51"
25,3434,1000,"0.627102,3434"
25,3423,1000,"0.721855,3423"
25,3408,1000,"0.831562,3408"
25,4119,1000,"-0.867677,4119"
25,21848,1000,"-0.871206,21848"
25,16561,1000,"-0.885241,16561"
25,14409,1000,"-0.901541,14409"
25,4731,1000,"-0.9379,4731"
25,16763,1000,"0.956719,16763"
25,4680,1000,"-0.970811,4680"
25,12473,1000,"0.979232,12473"
25,1464,1000,"-0.987807,1464"
26,53,2,"0.580929,53"
26,1096,1000,"0.249406,1096"
26,23402,1000,"-0.373839,23402"
26,306,1000,"-0.423475,306"
26,1028,1000,"-0.51691,1028"
