MemberID,FixedRandomValue,MemberPhotoRank
88,"1.316070.944408,11850",1
88,"7.400830.0402456,5944",1000
88,"7.40083-0.222891,4861",1000
88,"7.400830.349473,2144",1000
88,"7.400830.365454,6333",1000
88,"7.40083-0.370886,11152",1000
88,"7.400830.387752,14953",1000
88,"7.40083-0.404693,14461",1000
88,"7.40083-0.408291,5482",1000
88,"7.400830.445366,11290",1000
88,"7.40083-0.499071,11188",1000
88,"7.40083-0.579624,11801",1000
88,"7.40083-0.673985,11134",1000
88,"7.400830.688852,11100",1000
88,"7.40083-0.751782,2133",1000
88,"7.40083-0.797187,11287",1000
88,"7.400830.820942,5942",1000
88,"7.400830.821264,5479",1000
88,"7.400830.853115,3393",1000
88,"7.400830.924864,11169",1000
88,"7.400830.957962,2142",1000
88,"7.40083-0.97438,5947",1000
88,"7.400830.986176,5382",1000
88,"7.400830.989312,5941",1000
88,"7.40083-0.995808,11136",1000
89,"7.40083-0.2137,15259",1000
89,"7.400830.602684,7423",1000
89,"7.400830.627309,5929",1000
89,"7.400830.641979,15226",1000
89,"7.40083-0.673985,11134",1000
89,"7.400830.688852,11100",1000
89,"7.40083-0.797187,11287",1000
89,"7.400830.868153,11348",1000
89,"7.400830.881626,5926",1000
89,"7.400830.895933,7426",1000
89,"7.40083-0.897267,10524",1000
89,"7.40083-0.919116,12158",1000
89,"7.40083-0.981362,11149",1000
89,"7.40083-0.995808,11136",1000
89,"7.40083-0.996821,15289",1000
89,"7.40083-0.997446,10945",1000
89,"7.40083-0.999355,6710",1000
89,"7.400830.999964,15296",1000
90,"1.316070.898588,3080",1
90,"1.316070.966015,181",1
90,"1.565080.881098,11702",2
90,"1.732050.74992,182",3
90,"7.400830.00639545,320",1000
90,"7.400830.0086409,18234",1000
90,"7.400830.0173126,13638",1000
90,"7.40083-0.0364814,2104",1000
90,"7.400830.0970778,24117",1000
90,"7.400830.100265,15606",1000
90,"7.400830.148798,5508",1000
90,"7.400830.18884,5576",1000
90,"7.40083-0.294648,21842",1000
90,"7.400830.298602,24014",1000
90,"7.40083-0.352284,11460",1000
90,"7.400830.39831,2098",1000
90,"7.400830.431689,17913",1000
90,"7.40083-0.49908,5514",1000
90,"7.400830.530027,24118",1000
90,"7.400830.534351,21821",1000
90,"7.400830.573014,10732",1000
90,"7.40083-0.580863,14801",1000
90,"7.400830.597875,3083",1000
90,"7.40083-0.625833,14797",1000
90,"7.400830.641979,15226",1000
90,"7.40083-0.642134,6889",1000
90,"7.400830.649026,519",1000
90,"7.40083-0.689276,21841",1000
90,"7.40083-0.759172,11393",1000
90,"7.400830.765022,2099",1000
90,"7.400830.791824,24108",1000
90,"7.40083-0.804067,24142",1000
90,"7.40083-0.812034,3672",1000
90,"7.40083-0.813683,10715",1000
90,"7.400830.82468,5027",1000
90,"7.40083-0.840207,186",1000
90,"7.400830.854002,11920",1000
90,"7.40083-0.872409,6886",1000
90,"7.400830.892225,3082",1000
90,"7.400830.896853,16863",1000
90,"7.40083-0.911769,11843",1000
90,"7.40083-0.916275,6888",1000
90,"7.40083-0.936751,6670",1000
90,"7.400830.939547,11101",1000
90,"7.400830.941154,24012",1000
90,"7.400830.958285,1216",1000
90,"7.40083-0.95925,15140",1000
90,"7.400830.980077,180",1000
90,"7.400830.980414,15133",1000
90,"7.400830.981108,15636",1000
90,"7.40083-0.982115,2312",1000
90,"7.40083-0.995945,21036",1000
90,"7.400830.99601,24120",1000
90,"7.40083-0.997446,10945",1000
90,"7.400830.999285,10734",1000
90,"7.400830.999964,15296",1000
91,"7.400830.221604,374",1000
91,"7.40083-0.228758,11057",1000
91,"7.40083-0.419586,15668",1000
91,"7.400830.581305,19066",1000
91,"7.40083-0.757341,7624",1000
91,"7.40083-0.850954,11137",1000
91,"7.40083-0.995293,12225",1000
92,"7.40083-0.0361091,3772",1000
92,"7.400830.0652281,7687",1000
92,"7.400830.306837,5780",1000
92,"7.400830.638079,11059",1000
92,"7.400830.640983,13691",1000
92,"7.40083-0.687895,15587",1000
92,"7.40083-0.711803,20789",1000
92,"7.40083-0.738491,8659",1000
92,"7.40083-0.806842,7553",1000
92,"7.40083-0.840824,15590",1000
92,"7.40083-0.850954,11137",1000
92,"7.400830.855753,7560",1000
92,"7.400830.86486,11087",1000
92,"7.400830.915673,13690",1000
92,"7.40083-0.921104,7991",1000
92,"7.40083-0.930141,10660",1000
92,"7.400830.966691,7547",1000
92,"7.400830.96924,15881",1000
92,"7.400830.992163,5777",1000
93,"7.400830.020696,10860",1000
93,"7.400830.0268877,10935",1000
93,"7.400830.0674686,10867",1000
93,"7.400830.177197,15299",1000
93,"7.400830.251762,8313",1000
93,"7.400830.339413,10941",1000
93,"7.400830.370698,10963",1000
93,"7.400830.404518,9048",1000
