MemberID,PhotoID,MemberPhotoRank,RandomValue
88,11850,1,"0.0596919,11850"
88,5942,1000,"-0.0145723,5942"
88,5479,1000,"-0.0309694,5479"
88,5941,1000,"-0.288511,5941"
88,14461,1000,"0.341373,14461"
88,11287,1000,"-0.43521,11287"
88,5944,1000,"0.515529,5944"
88,2133,1000,"0.544873,2133"
88,11152,1000,"-0.56962,11152"
88,2144,1000,"-0.612124,2144"
88,11136,1000,"-0.645704,11136"
88,5482,1000,"-0.761271,5482"
88,11169,1000,"0.813102,11169"
88,4861,1000,"0.815448,4861"
88,14953,1000,"-0.870925,14953"
88,3393,1000,"0.896358,3393"
88,11801,1000,"0.900187,11801"
88,11188,1000,"0.929415,11188"
88,2142,1000,"-0.937349,2142"
88,6333,1000,"0.943712,6333"
88,11134,1000,"-0.951521,11134"
88,11290,1000,"-0.959316,11290"
88,11100,1000,"0.960481,11100"
88,5382,1000,"0.971082,5382"
88,5947,1000,"0.981072,5947"
89,6710,1000,"-0.0629411,6710"
89,15296,1000,"0.0829369,15296"
89,11149,1000,"0.226276,11149"
89,7423,1000,"-0.296605,7423"
89,10945,1000,"0.400208,10945"
89,11287,1000,"-0.43521,11287"
89,5929,1000,"0.469094,5929"
89,15226,1000,"-0.509264,15226"
89,11136,1000,"-0.645704,11136"
89,12158,1000,"0.697359,12158"
89,15259,1000,"0.704591,15259"
89,7426,1000,"-0.906716,7426"
89,10524,1000,"-0.949744,10524"
89,11134,1000,"-0.951521,11134"
89,15289,1000,"-0.957421,15289"
89,11100,1000,"0.960481,11100"
89,5926,1000,"0.969348,5926"
89,11348,1000,"0.990828,11348"
90,181,1,"0.070345,181"
90,3080,1,"0.895895,3080"
90,11702,2,"-0.368735,11702"
90,182,3,"0.34149,182"
90,5027,1000,"0.00598421,5027"
90,10732,1000,"0.0434557,10732"
90,15296,1000,"0.0829369,15296"
90,24118,1000,"0.112837,24118"
90,3672,1000,"-0.160541,3672"
90,519,1000,"-0.179007,519"
90,180,1000,"-0.206206,180"
90,24108,1000,"0.245007,24108"
90,3083,1000,"0.272649,3083"
90,24142,1000,"-0.274537,24142"
90,18234,1000,"0.317662,18234"
90,5514,1000,"0.333162,5514"
90,15636,1000,"0.379124,15636"
90,24117,1000,"0.381277,24117"
90,10945,1000,"0.400208,10945"
90,21036,1000,"0.426994,21036"
90,24120,1000,"-0.42876,24120"
90,14797,1000,"-0.442335,14797"
90,15226,1000,"-0.509264,15226"
90,6889,1000,"-0.521644,6889"
90,3082,1000,"0.526301,3082"
90,11920,1000,"-0.52918,11920"
90,10734,1000,"0.564368,10734"
90,2099,1000,"-0.570258,2099"
90,14801,1000,"0.608521,14801"
90,15140,1000,"0.63028,15140"
90,24014,1000,"-0.689661,24014"
90,2104,1000,"0.705887,2104"
90,13638,1000,"-0.723815,13638"
90,16863,1000,"0.72944,16863"
90,6888,1000,"-0.735819,6888"
90,2098,1000,"-0.773863,2098"
90,17913,1000,"-0.831533,17913"
90,11101,1000,"0.847164,11101"
90,320,1000,"0.855765,320"
90,2312,1000,"0.873347,2312"
90,1216,1000,"-0.90177,1216"
90,11843,1000,"0.906607,11843"
90,21821,1000,"-0.917897,21821"
90,21841,1000,"-0.951364,21841"
90,15133,1000,"-0.953541,15133"
90,5576,1000,"-0.954439,5576"
90,24012,1000,"-0.968021,24012"
90,5508,1000,"-0.970895,5508"
90,6670,1000,"0.981746,6670"
90,6886,1000,"-0.982432,6886"
90,11460,1000,"0.991126,11460"
90,186,1000,"0.993967,186"
90,15606,1000,"-0.994991,15606"
90,11393,1000,"0.996506,11393"
90,21842,1000,"-0.999385,21842"
90,10715,1000,"0.999603,10715"
91,15668,1000,"0.13634,15668"
91,374,1000,"-0.330091,374"
91,7624,1000,"0.342588,7624"
91,11137,1000,"-0.411269,11137"
91,12225,1000,"0.526749,12225"
91,11057,1000,"0.629261,11057"
91,19066,1000,"-0.7007,19066"
92,11059,1000,"0.124084,11059"
92,13691,1000,"-0.158736,13691"
92,15590,1000,"0.161959,15590"
92,7547,1000,"0.225903,7547"
92,3772,1000,"-0.298589,3772"
92,11137,1000,"-0.411269,11137"
92,13690,1000,"-0.423684,13690"
92,15881,1000,"-0.558004,15881"
92,15587,1000,"-0.622256,15587"
92,7560,1000,"-0.645411,7560"
92,20789,1000,"0.761612,20789"
92,5780,1000,"-0.883969,5780"
92,10660,1000,"-0.90445,10660"
92,7991,1000,"-0.925226,7991"
92,5777,1000,"-0.94013,5777"
92,7553,1000,"0.947438,7553"
92,11087,1000,"-0.981697,11087"
92,7687,1000,"0.994152,7687"
92,8659,1000,"0.999639,8659"
93,10935,1000,"-0.0511165,10935"
93,10958,1000,"0.061909,10958"
93,10867,1000,"-0.112066,10867"
93,11444,1000,"-0.129127,11444"
93,11138,1000,"-0.145232,11138"
93,15703,1000,"0.171069,15703"
93,9048,1000,"0.176698,9048"
93,15103,1000,"0.181945,15103"
93,10891,1000,"0.275283,10891"
93,1018,1000,"0.353449,1018"
93,8313,1000,"-0.367889,8313"
93,10945,1000,"0.400208,10945"
93,11137,1000,"-0.411269,11137"
93,8324,1000,"0.44327,8324"
93,8335,1000,"-0.515636,8335"
93,10933,1000,"-0.570682,10933"
93,10899,1000,"0.595524,10899"
93,15298,1000,"0.596578,15298"
93,10938,1000,"0.705521,10938"
93,13819,1000,"-0.77056,13819"
93,10932,1000,"-0.774191,10932"
93,11379,1000,"-0.784954,11379"
93,15299,1000,"0.79398,15299"
93,8311,1000,"-0.803372,8311"
93,10864,1000,"-0.811432,10864"
93,10860,1000,"-0.88318,10860"
93,10852,1000,"0.909547,10852"
93,14950,1000,"-0.949052,14950"
93,15097,1000,"0.960845,15097"
93,15099,1000,"0.962306,15099"
93,10964,1000,"0.987268,10964"
93,10963,1000,"0.993004,10963"
93,8331,1000,"-0.996529,8331"
93,10941,1000,"0.998912,10941"
94,10643,3,"0.4127,10643"
94,10664,1000,"-0.0176933,10664"
94,6631,1000,"0.0416286,6631"
94,6632,1000,"-0.234261,6632"
94,6630,1000,"0.314319,6630"
94,7559,1000,"-0.41092,7559"
94,11137,1000,"-0.411269,11137"
94,8656,1000,"0.691365,8656"
94,10656,1000,"-0.782772,10656"
94,9075,1000,"-0.866352,9075"
94,7553,1000,"0.947438,7553"
94,11155,1000,"-0.991503,11155"
95,11139,1000,"0.131966,11139"
95,11138,1000,"-0.145232,11138"
95,15667,1000,"0.403066,15667"
95,11137,1000,"-0.411269,11137"
95,11103,1000,"0.438948,11103"
95,14469,1000,"0.538305,14469"
95,15637,1000,"0.618591,15637"
95,15717,1000,"-0.797841,15717"
96,12681,2,"0.991125,12681"
96,12816,2,"0.999748,12816"
96,7413,1000,"0.614491,7413"
96,895,1000,"-0.653819,895"
96,3629,1000,"-0.695676,3629"
96,7836,1000,"-0.883359,7836"
96,11324,1000,"0.9675,11324"
96,14329,1000,"0.973128,14329"
96,14397,1000,"0.985383,14397"
96,717,1000,"-0.995559,717"
98,3558,1000,"0.125766,3558"
98,3555,1000,"0.819419,3555"
99,3258,1,"0.954285,3258"
99,12441,2,"-0.803918,12441"
99,2852,2,"0.993472,2852"
99,2340,3,"-0.427341,2340"
99,2056,1000,"0.00130216,2056"
99,327,1000,"0.167087,327"
99,2893,1000,"0.288016,2893"
99,3266,1000,"-0.343325,3266"
99,13122,1000,"-0.968218,13122"
99,2457,1000,"-0.999971,2457"
100,3413,2,"0.380444,3413"
100,3571,3,"0.340635,3571"
100,2896,3,"0.902892,2896"
100,3570,1000,"0.0694376,3570"
100,1379,1000,"0.222096,1379"
100,1332,1000,"-0.276654,1332"
100,4622,1000,"-0.44514,4622"
100,2341,1000,"-0.65912,2341"
100,14400,1000,"0.788082,14400"
100,16858,1000,"0.803765,16858"
100,1495,1000,"0.875997,1495"
100,22609,1000,"-0.935342,22609"
100,15560,1000,"-0.947232,15560"
100,20949,1000,"0.981723,20949"
100,717,1000,"-0.995559,717"
100,15222,1000,"-0.997119,15222"
101,54,1,"0.637021,54"
101,2898,2,"0.993751,2898"
101,12536,4,"-0.796263,12536"
101,12569,4,"0.920207,12569"
101,3310,1000,"-0.0204311,3310"
101,4779,1000,"-0.140086,4779"
101,11173,1000,"-0.162214,11173"
